country,life_expectancy,hdi,per_capita_gdp,region,income_group,pop,total_prod,total_cons,number_of_countries_required,number_of_earths_required,overshoot_day
Lithuania,75.6805,0.876,17744.05082952606,EU,UM,2.80126000976563,5.41524803382763,6.00078459946608,1.2633445545339195,3.791668460721118,96
Singapore,83.2976,0.936,57837.603126356924,Asia-Pacific,HI,5.7575,3.2456872893868,5.93148595380357,104.61627020595155,3.7478812717670924,97
Czech Republic,79.0293,0.898,23720.8992721539,EU,HI,10.6657001953125,5.94310455797916,5.71763294449601,2.454736033938268,3.612755656577719,101
Netherlands,81.8122,0.942,55369.23300982671,EU,HI,17.0853007812499,3.61911820782851,5.69156778255399,7.300221114492271,3.5962860681729056,101
Norway,82.7585,0.956,91608.03070432125,Other Europe,HI,5.3379599609375,10.3304646815765,5.66890291071694,0.8205707229042914,3.581964994272257,101
Malta,82.4488,0.894,31603.55982841433,EU,HI,0.439247985839844,1.356756897115,5.45122858025085,11.23107683473138,3.4444248310058914,105
Brunei Darussalam,75.722,0.836,31436.74303121887,Asia-Pacific,HI,0.42896301269531195,6.2106767269546,5.41536894772703,1.9966297523341736,3.4217664876843004,106
Slovenia,81.3781,0.912,26709.658901778537,EU,HI,2.0778400878906202,4.27878351458307,5.36620072221973,2.439812522182892,3.3906989486257846,107
New Zealand,81.8585,0.928,39214.61241742537,Asia-Pacific,HI,4.7431298828124895,12.0559431036444,5.30024454272019,0.5998739329661945,3.349023737417517,108
Russian Federation,72.6622,0.823,11939.561118201738,Other Europe,UM,145.73399999999899,6.42699519066605,5.31063469397508,0.7907984595842932,3.3555888803854543,108
Ireland,82.2561,0.951,77406.93104050336,EU,HI,4.81868994140624,4.73477772498636,5.25090167865892,1.7088532637731941,3.3178458508725788,110
Bhutan,71.46,0.649,3128.8541154846575,Asia-Pacific,LM,0.754388000488281,4.27003716285413,5.15876963843102,1.0364271177406785,3.259631104890012,111
Kazakhstan,73.15,0.819,11135.61455216547,Middle East/Central Asia,UM,18.3195996093749,5.87662166941693,4.95088571272752,1.3850762752168073,3.1282771275032903,116
Saudi Arabia,74.998,0.854,20829.12944109227,Middle East/Central Asia,HI,33.702800781249906,5.82618332137022,4.95542646006006,12.121355355600532,3.131146253725623,116
Turkmenistan,68.073,0.71,7647.951724840672,Middle East/Central Asia,LM,5.85089990234375,5.07978826401086,4.89690790004812,2.142798634085905,3.094170592512282,117
Poland,77.6024,0.877,16665.96277476253,EU,HI,37.9216015624999,4.71522076776224,4.75474573046116,2.524520803038286,3.0043437030787694,121
Slovakia,77.2659,0.858,20539.115977021003,EU,HI,5.453009765625,4.45069263840951,4.73146444598599,1.6950409544568383,2.9896331413836488,122
Germany,80.8927,0.946,47158.2360135501,EU,HI,83.1243984375,4.28241962373568,4.67233782131185,3.127574035207987,2.9522732671455736,123
Israel,82.8024,0.916,36866.823354394364,Middle East/Central Asia,HI,8.38151953125,2.69919161901645,4.65941855748559,25.43396085802152,2.9441100737541417,123
Antigua and Barbuda,76.885,0.772,15134.910089609682,Central America/Caribbean,HI,0.09628600311279299,1.91037279893994,4.65509241986169,5.434961728079485,2.941376551276641,124
Japan,84.211,0.917,48505.52664266323,Asia-Pacific,HI,127.201999999999,3.56504856744092,4.60769238599932,7.782036622644815,2.9114262655341645,125
Réunion,NA,NA,NA,Africa,NA,0.882526000976561,2.14491612292662,4.59353837442126,26.36702113571344,2.9024828818143114,125
Portugal,81.3244,0.86,24180.495239683998,EU,HI,10.2562001953125,3.18611920095767,4.55169836312507,3.518293043205886,2.876045763701107,126
France,82.7244,0.898,45056.68277020996,EU,HI,65.02919921874991,3.63247273706446,4.4210313211777,1.8575864025305906,2.7934822099532113,130
Belarus,74.1756,0.823,6607.808123636349,Other Europe,UM,9.452620117187509,5.10272815256479,4.4029788498252,1.5409130991565736,2.7820755371872137,131
Spain,83.4317,0.905,32981.46081167656,EU,HI,46.6928984375,3.72565662989597,4.39149120613281,2.8604312569989436,2.7748169303243193,131
Switzerland,83.7537,0.955,79173.21718512419,Other Europe,HI,8.525610351562491,2.15681139863264,4.34825013885374,4.3733512771795935,2.747494538011728,132
Bahamas,73.752,0.812,28845.521021436787,Central America/Caribbean,HI,0.385636993408203,1.92310528995575,4.28452598409871,0.466958780747603,2.7072296586837385,134
Chile,80.042,0.849,15110.096096190044,South America,UM,18.72919921875,4.75371386932725,4.2932063437119,1.2870000106878399,2.7127144490853103,134
Italy,83.3463,0.89,35277.49798672804,EU,HI,60.6618984374998,2.43003882472254,4.3105326210994,5.247334738523956,2.7236622673952247,134
Malaysia,75.997,0.805,12116.214158842971,Asia-Pacific,UM,31.5279999999999,4.21072339321595,4.2594544380563,1.9709351468340337,2.691387898524745,135
